StudentId,StudentName,Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP
691, James Carter,1,43,1,9070,1,1,100,1,37,37,9,9,108,1,0,0,1,1,0,34,0,7,12,12,7,11.42857143,0,4,12,12,7,11.85714286,0,7.6,2.6,0.32
776, Emily Johnson,1,1,6,9119,1,1,135,1,2,1,3,5,123.5,1,0,0,1,1,0,18,0,0,5,10,0,0,0,0,5,10,1,10,3,7.6,2.6,0.32
64, Michael Smith,2,51,1,8014,0,19,133.1,1,37,37,9,9,104,0,0,1,1,0,0,42,0,5,11,14,10,11.9,0,5,11,14,10,12.8,0,11.1,0.6,2.02
532, Olivia Williams,6,39,1,8014,0,1,133.1,1,37,37,9,9,119,0,0,0,1,0,1,48,0,0,6,7,6,10.66666667,0,0,6,9,5,11.8,0,10.8,1.4,1.74
67, Daniel Anderson,1,43,1,9500,1,1,170,1,19,37,8,8,100,0,0,0,1,0,0,20,0,0,7,8,6,13.25,0,0,8,8,8,13.75,0,13.9,-0.3,0.79
749, Santiago Rodríguez ,1,1,1,9238,1,1,135,1,38,38,4,7,121.7,1,0,0,1,0,1,18,0,0,6,14,0,0,0,0,6,9,4,11,0,7.6,2.6,0.32
383, Valentina Gómez ,1,43,1,9147,1,1,130,1,37,19,9,8,130.8,0,0,0,1,1,0,22,0,0,5,5,0,0,0,0,5,9,3,13.33333333,2,16.2,0.3,-0.92
683, Luiz Oliveira ,1,1,2,9500,1,1,106,1,1,19,4,4,106.4,1,0,0,1,0,1,19,0,0,7,9,5,13.34,0,0,7,9,6,12.38571429,0,12.4,0.5,1.79
555, Camila Torres ,2,7,1,9147,1,3,110,1,19,1,9,9,110,0,0,0,1,0,0,33,0,5,8,10,6,12.83333333,0,2,5,8,4,12,0,11.1,0.6,2.02
625, Diego Fernández ,4,43,1,9500,1,1,130,1,37,37,9,9,103.7,0,0,0,1,0,0,38,0,1,8,12,5,13.126,1,1,8,12,5,13.126,1,10.8,1.4,1.74
66, Alexander Müller ,1,44,1,9085,1,39,140,1,37,38,5,6,140,1,0,0,1,0,0,21,0,2,6,16,5,12.66666667,0,1,6,15,2,13.5,0,16.2,0.3,-0.92
286, Sofia Rossi ,1,43,1,8014,0,1,130,1,38,3,132,122,100,0,0,0,1,1,0,54,0,9,13,14,13,13.30769231,0,7,11,12,11,12.81818182,0,12.7,3.7,-1.7
633, Liam O’Connor ,1,44,1,9130,1,39,140,1,1,19,4,7,140,0,0,0,1,1,0,20,0,2,6,12,5,12.4,0,1,6,11,2,15,0,13.9,-0.3,0.79
68, Charlotte Dupont ,1,1,1,9238,1,1,135,1,38,38,5,7,121,0,0,0,1,0,0,19,0,0,6,13,3,10.33333333,0,0,6,12,3,10.33333333,0,7.6,2.6,0.32
327, Erik Johansson ,1,17,1,9085,1,1,125,1,1,38,4,9,118.4,1,0,0,1,0,0,21,0,0,5,13,3,11.33333333,2,0,5,12,2,10.5,1,9.4,-0.8,-3.12
395, Maria Papadopoulos ,1,43,2,9500,1,1,136,1,19,1,9,10,124.1,0,0,0,1,1,1,21,0,0,8,8,0,0,8,0,8,8,0,0,8,9.4,-0.8,-3.12
245, Piotr Kowalski ,1,1,6,9500,1,1,122,1,1,1,3,7,114.3,1,0,0,1,1,0,18,0,0,7,8,6,13.97666667,0,0,8,12,6,12.04166667,1,11.1,0.6,2.02
629, Isabella Novak ,1,1,5,9500,1,1,135,1,37,37,7,7,124,1,0,0,1,0,1,19,0,0,8,8,7,12.77142857,1,0,8,8,7,12.77142857,1,9.4,-0.8,-3.12
743, Hans van Dijk ,1,1,1,9147,1,1,117,1,37,37,9,9,120.2,1,0,0,1,0,0,20,0,0,5,9,2,10,0,0,5,10,2,11,0,7.6,2.6,0.32
694, Katarina Petrovic ,1,1,1,9254,1,1,128,1,19,19,7,8,120,1,0,0,1,0,1,20,0,0,6,6,6,14.5,0,0,6,7,5,15,0,12.4,0.5,1.79
406, Adebayo Okafor ,1,1,1,9147,1,1,130,1,37,37,9,9,118.8,0,0,1,1,1,1,22,0,0,5,8,5,10.66666667,0,0,5,11,2,11,0,15.5,2.8,-4.06
533, Zanele Dlamini ,1,39,1,8014,0,1,155,1,19,37,4,5,117.5,0,0,0,1,0,0,34,0,0,6,6,4,13.25,0,0,6,6,0,0,0,12.7,3.7,-1.7
621, Kwame Mensah ,1,17,1,9556,1,1,133,1,1,38,4,9,119,0,0,0,1,0,0,19,0,0,7,10,6,11.15,0,0,7,7,7,12.81428571,0,12.7,3.7,-1.7
716, Fatima Mohamed ,1,15,1,9556,1,1,114,26,3,19,122,144,114,0,0,0,1,0,0,20,1,0,7,14,0,0,6,0,7,12,2,11.66666667,0,8.9,1.4,3.51
635, Hassan Abdi ,1,43,4,9670,1,1,117,1,3,3,4,4,113.2,0,0,0,1,1,0,21,0,0,5,11,2,10,0,0,5,10,3,10.33333333,0,9.4,-0.8,-3.12
31, Samuel Nkurunziza ,1,1,1,171,1,1,136,1,3,37,2,8,121.7,1,0,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,-0.8,-3.12
261, Mariam Keita ,4,39,1,9003,1,1,133.1,1,19,19,9,4,100.7,0,0,0,1,0,0,39,0,0,6,15,2,13,2,0,6,13,3,13,1,15.5,2.8,-4.06
347, Jean-Claude Mbemba ,1,18,1,9500,1,1,128,1,19,1,9,4,125.8,0,0,0,1,0,1,20,0,0,8,8,0,0,8,0,8,8,0,0,8,9.4,-0.8,-3.12
599, Esther Wanjiru ,1,17,1,9670,1,1,140,1,1,1,4,3,133.4,0,0,0,1,1,0,24,0,0,6,6,4,11.25,0,0,6,9,4,10.42857143,0,10.8,1.4,1.74
771, Ahmed Ben Youssef ,1,17,1,9119,1,1,141,1,37,1,9,2,133,1,0,0,1,1,0,18,0,0,5,10,4,13,0,0,5,10,3,12.33333333,3,7.6,2.6,0.32
216, Hiroshi Tanaka ,1,1,1,9670,1,1,127,1,19,1,5,7,118.3,1,0,0,1,0,0,18,0,0,6,7,6,12.33333333,0,0,6,10,3,12,0,13.9,-0.3,0.79
79, Kim Min-jun ,1,43,1,9130,1,1,127,1,19,38,4,5,120.7,1,0,1,1,0,0,18,0,0,5,11,1,12,0,0,5,9,3,12,0,12.7,3.7,-1.7
543, Wang Wei ,1,39,1,9500,1,1,148,1,3,19,2,5,130,0,0,0,1,0,0,24,0,0,8,12,7,12.71428571,0,0,8,12,7,12.71428571,0,12.7,3.7,-1.7
638, Priya Sharma ,1,42,1,9003,1,39,120,1,3,1,2,6,128.2,1,0,0,1,1,0,24,0,4,9,13,8,13.33333333,0,5,10,12,9,13.11111111,0,16.2,0.3,-0.92
40, Nguy?n V?n Hùng ,1,39,1,9556,1,40,130,1,1,1,4,5,145,0,0,0,1,0,0,25,0,0,7,10,6,12.125,0,0,8,9,8,13.3125,0,15.5,2.8,-4.06
24, Aung Kyaw ,1,17,2,9147,1,1,123,1,1,38,4,7,115.3,1,0,0,1,0,1,18,0,0,5,9,3,13,0,0,5,11,3,11,0,8.9,1.4,3.51
659, Farid Al-Farsi ,1,1,1,9238,1,1,135,1,19,38,7,5,121,0,0,0,1,0,0,20,0,0,6,13,1,10,0,0,6,13,1,13,0,9.4,-0.8,-3.12
310, Nasir Khan ,1,17,1,171,1,1,145,1,4,4,3,3,143.6,0,0,1,1,1,0,19,0,5,12,12,10,12.7,0,4,11,16,10,12.27272727,0,8.9,1.4,3.51
791, Rinchen Dorji ,1,18,2,9853,1,1,168,1,1,19,3,9,126.8,1,0,0,1,1,0,18,0,0,6,7,5,12.6,0,0,6,6,6,13,0,10.8,1.4,1.74
303, Laila Rahman ,2,39,1,8014,0,1,140,1,37,3,9,10,172,0,0,0,1,1,0,44,0,5,11,21,9,12.33333333,0,8,11,16,9,11,0,12.4,0.5,1.79
140, Jack Thompson ,1,17,1,9853,1,1,119,1,3,3,132,132,110.6,0,0,0,1,0,0,20,0,0,7,9,6,11.83333333,0,0,7,7,6,14.33333333,0,11.1,0.6,2.02
251, Aroha Tui ,1,44,1,9003,1,39,130,1,3,3,7,1,130,1,0,0,1,1,0,20,0,0,6,12,4,11.6,0,0,6,11,5,11.5,0,15.5,2.8,-4.06
175, Tavita Fetu ,1,44,1,9085,1,39,130,6,19,1,6,4,130,1,0,0,1,0,0,22,1,0,6,12,5,12.8,0,0,6,19,2,11.5,0,12.4,0.5,1.79
684, Mele Latu ,1,44,1,9003,1,39,150,1,1,38,4,9,150,0,0,0,1,1,1,20,0,0,6,18,3,12,0,0,6,17,3,11.66666667,0,15.5,2.8,-4.06
594, Noah Brown ,1,1,1,9254,1,1,120,1,1,1,9,10,118.3,0,0,0,1,1,0,20,0,0,6,8,6,12.85714286,0,0,6,9,5,12.4,0,8.9,1.4,3.51
524, Amir Al-Mansouri ,4,43,1,8014,0,12,133.1,1,34,34,0,0,106,1,0,0,1,0,0,48,0,0,6,9,5,13,0,0,6,10,4,12.5,0,7.6,2.6,0.32
423, Leila Haddad ,1,39,1,9130,1,1,150,1,19,19,9,5,160,1,0,0,1,1,0,24,0,0,5,13,4,13.75,1,0,5,9,3,12,0,9.4,-0.8,-3.12
433, Youssef Hamdi ,2,43,1,9085,1,1,160,1,37,37,9,7,120,0,0,0,1,1,0,21,0,0,5,11,0,0,2,0,5,11,3,11.66666667,1,9.4,-0.8,-3.12
670, Zaynab Karim ,1,17,1,9254,1,1,119,1,1,1,4,10,125,0,0,0,1,1,0,19,0,0,6,7,5,10.8,0,0,6,10,2,10.5,0,10.8,1.4,1.74
445, Omar Al-Farooq ,1,17,2,9773,1,1,124,1,1,1,4,4,127.9,1,0,0,1,1,0,20,0,0,6,11,3,13.66666667,0,0,6,13,4,10.25,0,9.4,-0.8,-3.12
